2026-07-11 00:21:06 [MessageBroker-4] INFO  org.springframework.web.socket.config.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 516 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(516)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 1548], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 516], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 1, completed tasks = 2901]
2026-07-11 00:54:48 [MessageBroker-2] INFO  org.springframework.web.socket.config.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 516 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(516)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 1548], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 516], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 1, completed tasks = 3262]
2026-07-11 01:01:42 [http-nio-8080-exec-10] INFO  org.lpu.dev.codes.security.JWTAuthenticationFilter - Incoming request: /lpu-reservation-system/api
2026-07-11 01:01:42 [http-nio-8080-exec-10] WARN  org.lpu.dev.codes.security.JWTAuthenticationFilter - Missing Authorization header
2026-07-11 01:01:42 [http-nio-8080-exec-10] WARN  org.springframework.web.servlet.PageNotFound - No mapping for GET /lpu-reservation-system/api
2026-07-11 01:01:42 [http-nio-8080-exec-10] WARN  org.springframework.web.servlet.PageNotFound - No endpoint GET /lpu-reservation-system/api.
2026-07-11 01:01:44 [http-nio-8080-exec-2] INFO  org.lpu.dev.codes.security.JWTAuthenticationFilter - Incoming request: /lpu-reservation-system/api
2026-07-11 01:01:44 [http-nio-8080-exec-2] WARN  org.lpu.dev.codes.security.JWTAuthenticationFilter - Missing Authorization header
2026-07-11 01:01:44 [http-nio-8080-exec-2] WARN  org.springframework.web.servlet.PageNotFound - No mapping for GET /lpu-reservation-system/api
2026-07-11 01:01:44 [http-nio-8080-exec-2] WARN  org.springframework.web.servlet.PageNotFound - No endpoint GET /lpu-reservation-system/api.
2026-07-11 01:01:47 [http-nio-8080-exec-5] INFO  org.lpu.dev.codes.security.JWTAuthenticationFilter - Incoming request: /lpu-reservation-system/api
2026-07-11 01:01:47 [http-nio-8080-exec-5] WARN  org.lpu.dev.codes.security.JWTAuthenticationFilter - Missing Authorization header
2026-07-11 01:01:47 [http-nio-8080-exec-5] WARN  org.springframework.web.servlet.PageNotFound - No mapping for GET /lpu-reservation-system/api
2026-07-11 01:01:47 [http-nio-8080-exec-5] WARN  org.springframework.web.servlet.PageNotFound - No endpoint GET /lpu-reservation-system/api.
2026-07-11 01:01:52 [http-nio-8080-exec-1] INFO  org.lpu.dev.codes.services.AuthenticationService - Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0
2026-07-11 01:01:52 [http-nio-8080-exec-1] WARN  org.lpu.dev.codes.services.AuthenticationService - Login Failed: Invalid Username or Password: User is null
2026-07-11 01:01:57 [http-nio-8080-exec-4] INFO  org.lpu.dev.codes.services.AuthenticationService - Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0
2026-07-11 01:01:58 [http-nio-8080-exec-4] INFO  org.lpu.dev.codes.services.AuthenticationService - Login Successfull username: norielgecolea token eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJub3JpZWxnZWNvbGVhIiwicm9sZSI6IkZBQ0lMSVRJRVNBRE1JTiIsImlhdCI6MTc4MzczMTcxOCwiZXhwIjoxNzgzNzM4OTE4fQ.7nXT1qi0YOLym8BMeOemHjcHo9OtNe9vTejynHHsR-NwJPh5gPIHRXbYc5z7kWdI
2026-07-11 01:01:59 [http-nio-8080-exec-8] INFO  org.lpu.dev.codes.security.JWTAuthenticationFilter - Incoming request: /lpu-reservation-system/api/admin/gymnasium/reservations
